SCAT_ID	CCB_ID	JGI_ID
SCAT_0321	embl-cds:CCB73059	2504910727
SCAT_0322	embl-cds:CCB73060	2504910728
SCAT_0323	embl-cds:CCB73061	2504910729
SCAT_0324	embl-cds:CCB73062	2504910730
SCAT_0325	embl-cds:CCB73063	2504910731
SCAT_0326	embl-cds:CCB73064	2504910732
SCAT_0327	embl-cds:CCB73065	2504910733
SCAT_0328	embl-cds:CCB73066	2504910734
SCAT_0329	embl-cds:CCB73067	2504910735
SCAT_0330	embl-cds:CCB73068	2504910736
SCAT_0331	embl-cds:CCB73069	2504910737
SCAT_0332	embl-cds:CCB73070	2504910738
SCAT_0333	embl-cds:CCB73071	2504910739
SCAT_0334	embl-cds:CCB73072	2504910740
SCAT_0335	embl-cds:CCB73073	2504910741
SCAT_0336	embl-cds:CCB73074	2504910742
SCAT_0337	embl-cds:CCB73075	2504910743
SCAT_0338	embl-cds:CCB73076	2504910744
SCAT_0339	embl-cds:CCB73077	2504910745
SCAT_0340	embl-cds:CCB73078	2504910746
SCAT_0341	embl-cds:CCB73079	2504910747
SCAT_0342	embl-cds:CCB73080	2504910748
SCAT_0343	embl-cds:CCB73081	2504910749
SCAT_0344	embl-cds:CCB73082	2504910750
SCAT_0345	embl-cds:CCB73083	2504910751
SCAT_0346	embl-cds:CCB73084	2504910752
SCAT_0347	embl-cds:CCB73085	2504910753
SCAT_0348	embl-cds:CCB73086	2504910754
SCAT_0349	embl-cds:CCB73087	2504910755
SCAT_0350	embl-cds:CCB73088	2504910756
SCAT_0351	embl-cds:CCB73089	2504910757
SCAT_0352	embl-cds:CCB73090	2504910758
SCAT_0353	embl-cds:CCB73091	2504910759
SCAT_0354	embl-cds:CCB73092	2504910760
SCAT_0355	embl-cds:CCB73093	2504910761
SCAT_0356	embl-cds:CCB73094	2504910762
SCAT_0357	embl-cds:CCB73095	2504910763
SCAT_0358	embl-cds:CCB73096	2504910764
SCAT_0359	embl-cds:CCB73097	2504910765
SCAT_0360	embl-cds:CCB73098	2504910766
SCAT_0361	embl-cds:CCB73099	no IMG ID
SCAT_0362	embl-cds:CCB73100	2504910767
SCAT_0363	embl-cds:CCB73101	2504910768
SCAT_0364	embl-cds:CCB73102	2504910769
SCAT_0365	embl-cds:CCB73103	2504910770
SCAT_0366	embl-cds:CCB73104	2504910771
SCAT_0367	embl-cds:CCB73105	no IMG ID
SCAT_0368	embl-cds:CCB73106	2504910772
SCAT_0369	embl-cds:CCB73107	2504910773
SCAT_0370	embl-cds:CCB73108	2504910774
SCAT_0371	embl-cds:CCB73109	2504910775
SCAT_0372	embl-cds:CCB73110	2504910776
SCAT_0373	embl-cds:CCB73111	2504910777
SCAT_0374	embl-cds:CCB73112	2504910778
SCAT_0375	embl-cds:CCB73113	2504910779
SCAT_0376	embl-cds:CCB73114	2504910780
SCAT_0377	embl-cds:CCB73115	2504910781
SCAT_0378	embl-cds:CCB73116	2504910782
SCAT_0379	embl-cds:CCB73117	2504910783
SCAT_0380	embl-cds:CCB73118	2504910784
SCAT_0381	embl-cds:CCB73119	2504910785
SCAT_0382	embl-cds:CCB73120	2504910786
SCAT_0383	embl-cds:CCB73121	2504910787
SCAT_0384	embl-cds:CCB73122	2504910788
SCAT_0385	embl-cds:CCB73123	2504910789
SCAT_0386	embl-cds:CCB73124	2504910790
SCAT_0387	embl-cds:CCB73125	no IMG ID
